id,agentURL,price,addr,daftURL,longitude,latitude
1,NULL,"€2,250 Per month","Levmoss Hall, The Gallops, Leopardstown, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/leopardstown/levmoss-hall-the-gallops-leopardstown-dublin-1895657/,-6.206087,53.26615
2,NULL,"€2,555 Per month","67 Grosvenor Court, Clontarf, Dublin 3",http://www.daft.ie/dublin/houses-for-rent/clontarf/67-grosvenor-court-clontarf-dublin-1884681/,-6.198571,53.364623
3,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€6,000 Per month","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890595/,-6.232056,53.331792
4,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€5,000 Per month","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890592/,-6.232056,53.331792
5,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€3,850 Per month","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890587/,-6.234195,53.33081
6,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€4,750 Per week","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890596/,-6.232056,53.331792
7,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€5,500 Per month","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890589/,-6.232056,53.331792
8,NULL,"€1,900 Per month","Apartment 10, Clarinda House, Clarinda Park West, Dun Laoghaire, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/dun-laoghaire/apartment-10-clarinda-house-clarinda-park-west-dun-laoghaire-dublin-1897984/,-6.131723,53.289922
9,NULL,€800 Per week,"Camden Street Upper, Dublin 2, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/camden-street-upper-dublin-2-dublin-2-dublin-1896455/,-6.266031,53.332585
10,NULL,"€1,100 Per month","The Paddocks Riding Centre Woodside Road Sandyfor, Sandyford, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/sandyford/the-paddocks-riding-centre-woodside-road-sandyfor-sandyford-dublin-1894227/,-6.225981,53.250581
11,https://www.daft.ie/dublin/estate-agents/phibsborough/arkcon/,"€1,275 Per month","North Strand Road, North Strand, Dublin 3",http://www.daft.ie/dublin/studio-apartments-for-rent/north-strand/north-strand-road-north-strand-dublin-1897595/,-6.24276,53.357775
12,/agent.daft?id=10891&p=xpsttpts,"€2,200 Per month","Mobhi Court, Glasnevin, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/glasnevin/mobhi-court-glasnevin-dublin-1888094/,-6.266367,53.377301
13,https://www.daft.ie/dublin/estate-agents/dublin-4/bergins/,"€6,500 Per month","54 Raglan Lane, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/houses-for-rent/ballsbridge/54-raglan-lane-ballsbridge-dublin-1895864/,-6.240178,53.329111
