id,agentURL,price,addr,daftURL,longitude,latitude,overviews,city_center_distance,dwelling_type
1,https://www.daft.ie/dublin/estate-agents/dublin-2/scandik/,"€995 Per week","Pembroke Row, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/pembroke-row-dublin-2-dublin-1901079/,-6.247101,53.334610,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.6,"Apartment to Rent"
2,NULL,"€475 Per week","Morehampton Mews, Morehampton Road, Donnybrook, Dublin 4",http://www.daft.ie/dublin/houses-for-rent/donnybrook/morehampton-mews-morehampton-road-donnybrook-dublin-1929637/,-6.244409,53.327720,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",2.4,"House to Rent"
3,https://www.daft.ie/dublin/estate-agents/dublin-2/scandik/,"€860 Per week","Adelaide Square, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/adelaide-square-dublin-2-dublin-1905071/,-6.267644,53.339869,"Furnished, 1 Bedroom (1 double), 1 Bathroom",1,"Apartment to Rent"
4,https://www.daft.ie/dublin/estate-agents/dublin-2/finchley/,"€4,450 Per month","Carrickmines Wood, Carrickmines, Dublin 18",http://www.daft.ie/dublin/houses-for-rent/carrickmines/carrickmines-wood-carrickmines-dublin-1926916/,-6.166564,53.260424,"Furnished or unfurnished, 5 Bedrooms (5 double), 4 Bathrooms",11.5,"House to Rent"
5,https://www.daft.ie/dublin/estate-agents/templeogue/colmangrimes/,"€3,600 Per month","Mellowes Quay, Ushers Quay, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/dublin-8/mellowes-quay-ushers-quay-dublin-8-dublin-1929211/,-6.279811,53.345440,"Furnished, 3 Bedrooms (3 double), 3 Bathrooms",1.4,"Apartment to Rent"
6,https://www.daft.ie/dublin/estate-agents/ballsbridge/lansdownepartnership/,"€1,750 Per month","Elgin Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/elgin-road-ballsbridge-dublin-1925664/,-6.235356,53.330431,"Furnished, 1 Bedroom (1 double), 1 Bathroom",2.5,"Apartment to Rent"
7,https://www.daft.ie/dublin/estate-agents/dun-laoghaire/sflettingsstillorgan/,"€7,950 Per month","Kilmore Avenue, Killiney, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/killiney/kilmore-avenue-killiney-dublin-1930563/,-6.113706,53.258358,"Furnished, 5 Bedrooms (5 double), 4 Bathrooms",13.9,"House to Rent"
8,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€4,400 Per month","Capital Dock, Sir John Rogerson'S Quay, Grand Canal Dock, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/capital-dock-sir-john-rogersons-quay-grand-canal-dock-dublin-1902790/,-6.232159,53.345331,"Furnished, 3 Bedrooms (3 double), 2 Bathrooms",1.8,"Apartment to Rent"
9,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€3,600 Per month","Capital Dock Residence, Sir John Rogersons Quay, Grand Canal Dock, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/capital-dock-residence-sir-john-rogersons-quay-grand-canal-dock-dublin-1924009/,-6.232159,53.345331,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.8,"Apartment to Rent"
10,NULL,"€2,090 Per month","122 Rathgar Road, Rathgar, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathgar/122-rathgar-road-rathgar-dublin-1928879/,-6.272125,53.314217,"Furnished, 2 Bedrooms (2 single), 1 Bathroom",3.8,"Apartment to Rent"
