time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-30T17:10:49.510Z,35.7996674,-121.4078369,2.42,3.53,ml,72,192,0.1431,0.15,nc,nc73174665,2019-04-30T17:36:02.889Z,"26km NW of San Simeon, CA",earthquake,0.41,1.13,0.146,23,reviewed,nc,nc
2019-04-30T16:46:06.850Z,32.1121667,-115.0556667,19.63,3.29,ml,22,153,0.191,0.3,ci,ci38338823,2019-04-30T17:10:39.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.84,0.98,0.162,53,reviewed,ci,ci
2019-04-30T16:04:27.652Z,-19.9362,-177.4227,538.22,4.4,mb,,130,4.807,1.37,us,us70003emu,2019-04-30T16:56:42.040Z,"155km ENE of Ndoi Island, Fiji",earthquake,15.2,8.2,0.084,41,reviewed,us,us
2019-04-30T15:43:45.765Z,36.5397,140.7186,50.31,4.5,mb,,203,1.328,0.45,us,us70003emf,2019-04-30T16:32:22.040Z,"9km SE of Hitachi, Japan",earthquake,8.7,10.2,0.092,35,reviewed,us,us
2019-04-30T15:40:37.702Z,9.8552,126.6345,10,4.6,mb,,138,9.308,0.48,us,us70003emd,2019-04-30T16:23:11.040Z,"52km E of General Luna, Philippines",earthquake,11.1,1.9,0.098,31,reviewed,us,us
2019-04-30T15:13:20.970Z,32.1176667,-115.0593333,19.46,2.98,ml,23,153,0.1852,0.24,ci,ci38338687,2019-04-30T15:57:32.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.53,0.65,0.15,43,reviewed,ci,ci
2019-04-30T13:11:27.857Z,6.7288,-72.9542,158.39,4.3,mb,,142,0.84,0.63,us,us70003ekn,2019-04-30T16:58:44.040Z,"8km ENE of Aratoca, Colombia",earthquake,19.3,22.1,0.051,107,reviewed,us,us
2019-04-30T12:48:00.520Z,1.8264,99.0976,118.38,4.4,mb,,118,0.878,0.61,us,us70003ekh,2019-04-30T13:33:55.040Z,"36km ENE of Sibolga, Indonesia",earthquake,4.9,5.7,0.127,18,reviewed,us,us
2019-04-30T10:11:02.809Z,39.8116,-117.448,3.5,3.1,ml,11,118.76,0.721,0.1573,nn,nn00683614,2019-04-30T16:25:11.912Z,"52km NW of Austin, Nevada",earthquake,,2.9,0.24,6,reviewed,nn,nn
2019-04-30T09:42:04.090Z,59.8787,-153.5149,122.9,2.5,ml,,,,0.73,ak,ak0195im3k27,2019-04-30T14:08:27.040Z,"79km E of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-04-30T08:06:51.610Z,23.6627,-63.0176,10,4.6,mb,,163,5.584,0.71,us,us70003ehc,2019-04-30T12:07:51.040Z,"North Atlantic Ocean",earthquake,9.2,1.9,0.032,300,reviewed,us,us
2019-04-30T06:02:56.995Z,39.7127,-117.4548,6.4,3.5,ml,10,70.78,0.652,0.2498,nn,nn00683604,2019-04-30T17:02:26.743Z,"41km NW of Austin, Nevada",earthquake,,6.2,0.31,5,reviewed,nn,nn
2019-04-30T05:04:05.940Z,39.3478317,-123.2438354,-0.47,2.76,md,20,80,,0.08,nc,nc73174480,2019-04-30T15:52:34.450Z,"10km NNW of Redwood Valley, CA",earthquake,0.24,1.26,0.21,19,automatic,nc,nc
2019-04-30T04:51:25.129Z,36.6904,-97.6913,4.54,3.3,mb_lg,,48,0.21,0.25,us,us70003ef7,2019-04-30T11:52:34.395Z,"13km SSE of Medford, Oklahoma",earthquake,0.9,3.6,0.047,117,reviewed,us,us
2019-04-30T03:33:17.740Z,18.8051662,-155.1323395,12.64,2.53,ml,52,279,0.4677,0.2,hv,hv70930516,2019-04-30T03:38:56.490Z,"57km SE of Pahala, Hawaii",earthquake,2.81,3.74,3.02,11,automatic,hv,hv
2019-04-30T02:28:49.522Z,-6.2667,131.5867,56.77,5.1,mww,,62,1.728,0.67,us,us70003eek,2019-04-30T02:42:08.040Z,"144km WSW of Tual, Indonesia",earthquake,5.3,7,0.073,18,reviewed,us,us
